CodEqu,Descri,CosDia
ALB000,EQUIPO PARA TABIQUERIA / CIELO RASO/ DRY,22.01
ALB001,CARRETON 150 LT TIPO BUGGY P/ACARREO,55.06
ALB002,CARRETILLA CAP= 55 LT CAUCHOS DE GOMA,4.67975
ALB003,CARRETILLA CAP= 110 LT RUEDAS DE GOMA,7.4878
ALB004,HERRAMIENTAS MENORES,0.44274
ALB005,CARRETON P/VACIADO DE CONCRETO TIPO BUGG,27.528
ALB006,CUBETA/ENCOFRADO PLASTICO P/LOSA RETICUL,0.74
ALB007,EQUIPO PARA COLOCACION DE CERAMICA,5.53
ALB008,EQUIPO BASICO PARA PUESTA EN OBRA DE CON,5.53
ALB009,EQUIPO PULIDO GRANITO,34.68519
ALB010,EQUIPOS VARIOS DE ALBAÑILERIA,22.01
ALB011,ESPATULA DE 6 CM CON MANGO,0.5505
ALB012,HERRAMIENTAS PARA CUADRILLA OBRAS CIVILE,3.25044
ALB013,"JUEGO DE PALA, PICO Y CARRETILLA",13.21
ALB014,MANGUERA DE DESCARGA X 10 MTS,4.5697
ALB015,"MANGUERA (SUCCION) DIAM= 2"". L= 15 M",2.7529000000000003
ALB016,"MANGUERA PLASTICA TIPO CULEBRA D=1/2"" L=",1.9488
ALB017,MAQUINA PULIDORA DE GRANITO,60.58
ALB018,SET DE HERRAMIENTAS P/PISO LAMINADO MDF,0.66045
ALB019,TALADRO ELECTRICO,6.61
ALB020,"EQUIPOS: TALADRO, TESTER Y MEDICION ELEC",4.4044
ALB021,CUCHARA NACIONAL PARA ALBAÑIL,0.2266
ALB022,CUCHARA PLANA PARA ALBAÑILERIA,0.1982
ALB023,SALPICADORA RIGO,2.18
ALB024,"NIVEL DE 3 BURBUJAS Y 18""",0.5325099999999999
ALB025,"CEPILLO DE ALBAÑIL PARA FRISAR DE 6""",0.6596
ALB026,TOBO PLASTICO DE ALBAÑIL/ACARREO/EXC,0.91321
ALB027,PALA NACIONAL CON CABO DE MADERA,1.01048
ALB028,EQUIPO PARA PULIR GRANITO,29.72997
ALB029,EQUIPO PARA GRANITO,16.49
ALB030,EQUIPO MENOR,5.53
ALB031,MANGUERA PLASTICA DE DESCARGA DE 2 PULG,6.606000000000001
ALB032,MAQUINA LIVIANA DESBASTADORA DE GRANITO,1.079148
ALB033,MAQUINA MANUAL DESBASTADORA DE GRANITO,0.863296
ALB034,"ESPATULA CON MANGO HOJA CON ANCHO=10""",0.6156
ALB035,ESPATULA,0.2644
ALB036,ESPATULA LLANA DOBLE P/ENCAMISADO L=30 C,0.3636
ALB037,EQUIPOS MENORES DE ALBAÑILERIA,16.49
ALB038,EQUIPO TIPO 1 ACABADO INTERIOR,5.53
ALB039,ASPERSOR/ROCIADOR -FUMIGADOR DE ESPALDA ,3.10158
ALB040,REGLA DE MADERA,0.2202
ALB041,PLOMADA IMPORTADA,0.3070799999999999
ALB042,ESCUADRA METALICA ALUMINIO,0.1982
ALB043,"NIVEL, PLOMADA, ESCUADRA Y CINTA METRICA",0.6443099999999999
ALB044,"PIQUETA, TENAZA, CUCHARA PLANA (ALBAÑILE",3.5676
ALB045,SIERRA ELECTRICA CIRCULAR,7.5538
ALB046,TALADRO Y MECHA P/ ANCLAJES EN CONCRETO,33.06
ALB047,TALADRO DE BAJA REVOLUCION PARA MEZCLADO,11.01
ALB048,BARRA METALICA DE 1.47 MTS,2.544
ALB049,EQUIPO MENOR PARA DEMOLICION MANUAL,1.6908
ALB050,EQUIPO LIVIANO DE ALBAÑILERIA,13.21
ALB051,MARTILLO TIPO GOMA / MAZO DE GOMA,0.2423999999999999
ALB052,HERRAMIENTAS MENORES PARA EXCAVACION,3.5238400000000003
ALB053,"BARRA METALICA PARA HOYAR L=1,47 MT",1.894
ALB054,HERRAMIENTAS PARA EXCAVACION A MANO,2.66552
ALB055,HERRAMIENTAS MANUALES PARA EXCAVACION A ,11.4019
ALB056,PICO BELLOTA O SIMILAR / IMPORTADO,0.5815699999999999
ALB057,PALIN,0.24777
ALB058,JUEGO DE DESTORNILLADORES MIXTOS 8 PZAS,1.305
ALB059,ESMERIL MULTIUSO MANUAL,11.5623
ALB060,TALADRO INDUSTRIAL CON ACCESORIO P/LIJAR,1.21115
ALB061,RODILLO DE ACERO PARA PISO DE GRANITO,0.59285
ALB062,ASPERSOR PARA RIEGO/JARDINERIA,0.46688
ALB063,DESTORNILLADOR ELECTRICO 4.000 RPM O SIM,3.50145
ALB064,MANDARRIA MANGO CORTO 3 KG BELLOTA O SIM,1.6516
ALB065,MANDARRIA MANGO LARGO 6 KG BELLOTA O SIM,0.9138
ALB066,MARTILLO TIPO CARPINTERO BELLOTA O SIMIL,0.99
ALB067,"CEPILLO, CUCHARA, PALA, CARRETILLA (JGO)",12.88248
ALB068,"PIQUETA, CUCHILLA",1.485
ALB069,"TENAZA, PIQUETA Y MARTILLO (ALBAÑILERIA)",4.008
ALB070,"CINTA METRICA, NIVEL BURBUJA, PLOMADA",0.6935399999999999
ALB071,"CARRETILLA RUEDA NEUMATICA 10""",5.0208
ALB072,PICO NACIONAL (INCLUYE CABO),1.23486
ALB073,CARRETILLA PARA CONSTRUCCION,4.4698
ALB074,PLOMADA JOROPO ALBAÑIL 300 GRAMOS,0.3306
ALB075,"CEPILLO ALBAÑILERIA TIPO PALUSTRA, MANGO",1.5858
ALB076,CUCHILLA PARA CORTES,0.3298
ALB077,"CUCHARA DE 6""  BELLOTA  O SIMILAR",0.6824
ALB078,"CORTADORA DE CERAMICA 24"" RUBI SIMILAR T",11.0116
ALB079,PALA PUNTA RECTANGULAR CON CABO #,2.17158
ALB080,PIQUETA,1.3209
ALB081,PALA CON CABO DE MADERA BELLOTA O SIM #,1.3107
ALB082,MARTILLO TIPO CARPINTERO STANLEY,0.518
ALB083,"PISTOLA NEUMATICA DE PERCUSION 5/8""",4.4044
ALB084,"JUEGO DE PALA, MANDARRIA Y CARRETILLA",16.49
ALB085,"TALADRO P/PERFORAR CONCRETO HASTA 1""",16.49
ALB086,PALUSTRA DENTADA CON MANGO DE GOMA,0.3298
ALB087,ESPONJA DE ALBAÑIL (CEPILLO DE GOMA),0.5976
ALB088,"JUEGO: ESPONJA, CEPILLO Y CUCHARA P/ALBA",1.5207
ALB089,BARRA PATA DE CABRA (HERRAMIENTA),1.6356
ALB090,PIQUETA Y PALA,1.4092
ALB091,JUEGO DE PICO Y PALA,2.8903000000000003
ALB092,CEPILLO DE ALBAÑILERIA TIPO LLANA,1.8657
ALB093,RATON / PALUSTRA P/REMATE,1.4840999999999998
ALB094,CAVADORA HOYO MANUAL DOS CABOS DE MADERA,1.696
ALB095,ESCARDILLA CON CABO DE MADERA,1.0138
ALB096,HOZ MANUAL DE PUNTA PARA CORTAR VEGETACI,1.1892
ALB097,"TALADRO 3/8"" BOSCH 1800 RPM 450 W PERCUS",1.5128700000000002
ALB098,TALADRO INDUSTRIAL POTENCIA 3/4 HP,5.0648
ALB099,MAQUINA P/EMPLOMAR-PULIR GRANITO-MARMOL,77.06
ALB100,MAQUINA ELECT P/EMPLOMAR-PULIR PISO 9HP ,40.19045
ALB101,"ESMERIL PORTATIL 7"" BOSCH 8500 RPM O SIM",11.5612
ALB102,"CIZALLA TIPO TIJERA MANUAL 24"" RIDGID O ",3.7438
ALB103,"TARRAJA MANUAL HASTA 2"" Y ACCESORIOS",2.03145
ALB104,TARRAJA - ROSCADORA ELECTRICA RIDGID MOD,13.2133
ALB105,INYECTOR ROTOJET,1.19469
ALB106,SAND BLASTING ARENADOR - 04 MAX.365PSI 2,44.03
ALB107,SIERRA DE MESA D=35 CM 8.5 HP PARA MADER,8.146080000000001
ALB108,CEPILLO DE CARPINTERO STANLEY O SIM,4.8231
ALB109,SIERRA CIRCULAR ELECTRICA 2 1/8 HP D=7 1,7.2676
ALB110,LLAVE DE TUBO RIDGID O SIMILAR,3.5236
ALB111,"CORTADORA DE TUBOS MANUAL DIAMETROS 1/8""",3.7989
ALB112,CARRETILLA CAP= 55 LT,3.8976
ALB113,RODILLO GRANDE PARA EXTENDER GRANITO,3.34742
ALB114,PISTOLA DE FIJACION /CLAVOS HILTI DXA-41,12.52611
ALB115,"LLAVES EN JUEGO / TIPO ALLEN 1/16 - 1/4""",0.1762
ALB116,JUEGO DE PLANTILLA METALICA P/DEMARCACIO,3.0824000000000003
ALB117,TANQUE DE ALMACENAMIENTO DE AGUA CAP=40.,6.936978999999999
ALB118,HIDROLIMPIADORA WATERBLAST 7.5HP-HIDROJE,5.945894999999999
ALB119,"CORTADORA ELECT. DE METALES 1 3/8"" DISCO",27.681
ALB120,DOBLADORA AUTOMATICA DE CABILLA HASTA 1 ,5.505560000000001
ALB121,MARTILLO HIDRAULICO POCLAIN MOD. B-70 P/,114.371163
ALB122,MARTILLO ELECTRICO DEMOLEDOR HILTI O SIM,24.775
ALB123,SEÑORITA MANUAL DE CADENA HASTA 5 TON,11.01
ALB124,FRESADORA TIPO UNIVERSAL CON ACCESORIOS,33.03324
ALB125,JUEGO DE LLAVES COMBINADAS 14 PZAS Y ALL,1.176
ALB126,EQUIPO SILK SCREEN,16.49
ALB127,JUEGO DE PUNZONES,0.6827
ALB128,REGLA VIBRATORIA (EQUIPO LIVIANO MOTORIZ,16.51665
ALB129,VOLTIAMPERIMETRO TIPO PINZA DIGITAL,4.1283
ALB130,KIT PARA FLEJE: FLEJADORA / SELLADOR (HE,1.07364
ALB131,TENSOR TIPO RANA HASTA 4/0,2.7529000000000003
ALB132,"QUEMADOR, SOPLETE, MANGUERA, BOMBONA Y R",11.8908
ALB133,"MANGUERA PLASTICA D=1/2"" L=100 MTS (TIPO",1.49752
ALB134,JUEGO DESTORNILLADORES 10 PZAS STANLEY,1.00755
ALB135,CORTADOR DE VIDRIOS,1.1005
ALB136,"NIVEL DE 3 BURBUJAS 14"" STANLEY",0.4240499999999999
ALB137,SEGUETA AJUSTABLE STANLEY (ARCO),1.9265
ALB138,ESCUADRA METALICA ALUMINIO MARCA ESPN (6,0.286
ALB139,ROLLO DE GUARAL (PABILO),0.088
ALB140,BOMBONA DE GAS / RECIPIENTE (SIN CONSUMI,5.53
ALB141,"SERRUCHO 26""",0.7925399999999999
ALB142,MAQUINA PULIR Y EMPLOMAR GRANITO 1 HP EL,99.09975
ALB143,LLAVES EN JUEGO COMBINADAS PULG. O MILIM,4.4
ALB144,JUEGO DE DESTORNILLADORES PLANOS Y ESTRI,0.69375
ALB145,"EXTENSION ALUMINIO P/RODILLO 1,5 A 3 M P",1.1012000000000002
ALB146,TOBO PLASTICO CAP= 10 LT DE ALBAÑILERIA,0.9247000000000002
ALB147,CINTA METRICA DE FIBRA 50 M,0.5729
ALB148,CEPILLO CARRETERO MEDIANO NRO 14 P/BARRE,0.5286
ALB149,"TENAZA CRESCENT DE 8""",0.4403
ALB150,VIBRADOR A GASOLINA 5 HP L=5 M MANGUERA/,14.86503
ALB151,EQUIPO P/DEMARCACION LINEAL SOBRE CAMION,133.78482
ALB152,"TIJERA PARA PODAR DE 12""",0.33585
ALB153,EQUIPO PARA PREPARAR BENTONITA,77.06
ALB154,"CORTADORA DE TUBOS DE HIERRO HASTA D=6""",110.11
ALB155,PALUSTRA ESPECIAL,0.3964
ALB156,RATCHET 29 PIEZAS MARCA PROTO O SIMILAR,4.8449
ALB157,"MOTOCARRETON DUMPER, 17 HP,3000 RPM, RE=",66.06654
ALB158,REGLA DE ALBAÑIL (TUBO RECTO HIERRO 2X1),0.30492
ALB159,TIJERA PARA CORTAR LAMINAS,0.881
ALB160,ESPATULA PARA ESQUINAS,0.0553
ALB161,CRISOL MEDIAÑO PARA FUNDIR PLOMO,3.7989
ALB162,"LLAVE AJUSTABLE 8"" ACESA O SIMILAR",0.4513
ALB163,"VIBRADOR CABEZAL D= 48 MM, ELECTRICO, L=",17.223896
ALB164,EQUIPO DE OXIACETILENO CON ACCESORIOS,22.01
ALB165,"TALADRO PERCUTOR DE 1/2""",22.01
ALB166,TALADRO PERCUTOR,8.81
ALB167,PALUSTRA LISA CON MANGO PLASTICO,0.5005000000000001
ALB168,PALA PUNTA REDONDA CON CABO (EXCAVACION),1.04788
ALB169,CORTADORA ELECTRICA/HUMEDA DE PORCELANAT,110.11
ALB170,CORTADORA MANUAL PARA PORCELANATO,22.01
ALB171,HERRAMIENTAS MENORES,44.03
ALB172,PISTOLA / DISPENSADOR DE CARTUCHO DE SIL,0.8356
ALB173,EQUIPO DE ALBAÑILERIA,22.01
ALB174,RATON / PALUSTRA P/REMATE ESQUINAS,1.4840999999999998
ALB175,RATON CENTRAL / PALUSTRA P/JUNTA LOSAS,1.4840999999999998
ALB176,MARTILLO TIPO BUJARDA,1.1011
ALB177,MESA-BANCO PARA CARPINTERIA,1.1565
ALB178,"MESA-BANCO P/ALBAÑIL EN MADERA 1,50 X 0,",1.485
ALB179,"MESA PARA CABILLERO EN MADERA 1,50 X 6 M",1.3209
ALB180,MESA- BANCO PARA HERRERIA,7.4319
ALB181,PISTOLA PARA CALAFATEO (RELLENAR),0.6164000000000001
ALB182,JUEGO DE PUNZONES P/PONCHADO,0.9912
ALB183,SERRUCHO PARA CORTES ESPECIALES,0.7709999999999999
ALB184,TAMBOR / PIPOTE DE 200 LTS,2.2022
ALB185,GRAPADORA INDUSTRIAL MANUAL,0.7048
ALB186,GRAPADORA INDUSTRIAL ELECTRICA,3.34736
ALB187,HOJA DE SEGUETA,0.57813938
ALB188,JUEGO DE MECHAS PARA TALADRO (MADERA),1.3209
ALB189,JUEGO DE MECHAS PARA TALADRO (METAL),1.3875
ALB190,CUCHARA PLANA IMPORTADA ALBAÑILERIA,0.1982
ALB191,SIERRA MANUAL PARA CORTAR DRYWALL,0.22024
ALB192,TIJERA PARA CORTE RECTO,0.2123999999999999
ALB193,EXACTO PARA CORTAR,0.13765
ALB194,BARRENADORA MANUAL HOYADORA P/HOYOS PEQU,4.4
ALB195,MANDARRIA  (SLEDGE HAMMER),3.28
ALB196,MARTILLO TIPO CARPINTERO CABO DE FIBRA I,0.881
ALB197,MARTILLO TIPO BOLA STANLEY O SIM IMPORTA,0.352
ALB198,PALA PUNTA RECTANGULAR BRONCE ANTICHISPA,2.42242
ALB199,GUANTES PARA CONSTRUCCION (PAR),1.212
ALB200,BARRENADORA MECANICA AHOYADORA-HOYADORA ,440.44
ALB201,CARRETILLA DE 180 LITROS RUEDA DE GOMA,12.3324
ALB202,TOBO DE GOMA PARA ALBAÑIL,1.1195700000000002
ALB203,MARTILLO CABEZA DE GOMA STANLEY O SIM,0.8259
ALB204,PLOMADA BRONCE 450 GRAMOS,0.7379000000000001
SEG003,CHALECO REFLECTIVO,0.5284000000000001
ALB205,PLOMADA PARA TOPOGRAFO 22 ONZAS,0.3306
ALB206,"SEGUETA PARA HOJA DE 18""",1.3765
ALB207,"HOJA PARA SEGUETA DE 18""",0.303
ALB208,BARRENADORA AHOYADORA/HOYADORA ELECTRICA,13.433800000000002
ALB209,RANURADOR ELECTRICO PARED P/TUBERIAS HAS,13.213360000000002
ALB210,ESCORFINA /LIMA PARA MADERA O PLYCEM,0.6267
ALB211,GRAPADORA INDUSTRIAL NEUMATICA,2.2023200000000003
ALB212,ATORNILLADOR ELECTRICO POTENTE,4.1293500000000005
ALB213,HERRAMIENTAS MENORES,13.21
ALB214,HERRAMIENTAS PARA MECANICO,27.53
ALB215,PISTOLA DE EXPANSION,71.59
ALB216,PISTOLA DE FIJACION,16.49
ALB217,MARTILLO CON FORRO ANTIVIBRACION,0.6609
ALB219,PINZA ALICATE P/NIVELACION CERAMICA PORC,0.36333
ALB220,CORTADORA DE CERAMICA TS-60 C/MALETA,13.2134
ALB221,DISPENSADOR DE EPOXICO HILTI HDE 500 A B,9.9104
ALB222,MEZCLADOR DE BAJA REVOLUCION,49.5
ARB001,EQUIPO PARA SIEMBRA,2.18
ARB002,"HACHA DE 3,5 LIBRAS",1.3218
ARB003,HERRAMIENTAS PARA DEFORESTACION A MANO,9.9099
ARB004,MOTOSIERRA PEQUEÑA A GASOLINA,16.49
ARB005,SIERRA ELECTRICA CIRCULAR DE MANO,11.01
ARB007,"MACHETE ROZADOR DE 22""",0.2201
