CodMat,Descri,CosMat
ACA001,MASTIQUE PARED / PASTA PROFESIONAL,30.85
ACA002,MASTIQUE PASTA PROFESIONAL P/PARED-TABIQ,16.5
ACA003,"LAMINA DE YESO DRY WALL 4' X 8'  E=1/2"" ",22.02
ACA004,LAMINA DE YESO P/CIELO RASO 4' X 8' X3/8,21.68
ACA005,"LAMINA DE YESO DRY WALL 4' X 8'  X 5/8"" ",42.8
ACA006,EMPATES DE PERFILES DE ALUMINIO,1.61
ACA007,LIJAS PARA CONCRETO (DISCOS),5.97
ACA008,LAMINA DE YESO PINTADA COLOR ROJO TEJA E,12.11
ACA009,ELEMENTOS DE FIJACION,0.11
ACA010,MATERIAL DE FIJACION Y REMATE,0.42
ACA011,MATERIALES PARA INSTALACIONES,1.08
ACA012,MATERIALES VARIOS PARA INSTALACION,0.11
ACA013,MATERIALES PARA MONTAJE DE CHAPAS METALI,0.32
ACA014,"LAMINA DE YESO 4'  X 8'  X 1/2"" (1,2 X 2",7.68
ACA015,"RAMPLUG PLASTICO 1/4"" COLOR VERDE",0.11
ACA016,SILICON Y ADHESIVO DOBLE FAZ PARA COLOCA,5.54
ACA017,SOPORTES PARA FIJACION A PARED,0.26
ACA018,"LAMINA DE YESO/DRY WALL 4' X 10' X 5/8"" ",49.25
ACA019,PASTA PROFESIONAL/MASTIQUE NACIONAL 5 GA,57.87
ACA020,"LAMINA FIBRA MINERAL 4' X 2' X 3/4"" (1,2",13.22
ACA021,DISCO DE ESMERIL PARA CORTE DE CONCRETO,12.13
ACA022,"LAMINA DE YESO P/DRY WALL 4' X10' X1/2"" ",31.76
ACA023,"DISCO PARA ESMERIL DE 7""",14.31
ACA024,CONECTOR BIMETALICO KSU-31 1/0 A 350 MCM,38.58
ACA025,MARCO DE HIERRO P /PUERTA 0.70 X 2.10 MT,77.09
ACA026,MARCO DE HIERRO DERECHO P/PUERTA 0.70 X ,69.44
ACA027,MARCO DE HIERRO DERECHO P/PUERTA 0.80 X ,83.73
ACA028,MARCO DE HIERRO P /PUERTA 0.80 X 2.10 MT,87.14
ACA029,MARCO DE MADERA P/PUERTA 0.80 X 2.10 MT,96.98
ACA030,"MARCO HIERRO P/PUERTA 2.10 X 0.90M E= 1,",85.87
ACA031,MARCO DE MADERA P/PUERTA 0.90 X 2.10 MT,109.09
ACA032,MARCO DE HIERRO DERECHO P/PUERTA 0.90 X ,88.13
ACA033,"PARAL STUD METALICO 1 5/8"" X 2,44 M- 8' ",6.07
ACA034,"PARAL STUD METALICO 1 5/8"" X 3,05 M-10' ",6.84
ACA035,"PARAL STUD METALICO 2 1/2"" X 2,44 M-8' D",5.86
ACA036,"PARAL STUD METALICO 2 1/2"" X 3,05 M DRY ",6.62
ACA037,"PARAL STUD METALICO 3 5/8"" X 2,44 M-8' D",8.81
ACA038,"PARAL STUD METALICO 3 5/8"" X 3,05 M-10' ",9.88
ACA039,"RIEL/TRACK CANAL METALICO 1 5/8"" X 3,05 ",5.21
ACA040,"RIEL/TRACK CANAL METALICO 2 1/2"" X 3,05 ",6.51
ACA041,"RIEL/TRACK CANAL METALICO 3 5/8"" X 3,05 ",6.39
ACA042,"RIEL/TRACK CANAL METALICO 2 1/2"" X 3.05 ",6.62
ACA043,"ESQUINERO METALICO 1/2""X1 1/8"" X 2,44M-D",4.41
ACA044,"ESQUINERO RIGIDO 1 1/4"" X 2.44 M IMPORTA",2.39
ACA045,"ESQUINERO RIGIDO 1/2"" X1 1/4"" X 10' 3,05",3.65
ACA046,"ESQUINERO PLASTICO FLEXIBLE 8' /2,44 MT",4.75
ACA047,"PERFIL/CANAL OMEGA 7/8""-22,2 MM X 3.05 M",5.54
ACA048,SILICON TRANSPARENTE TUBO 300 ML/10ONZ,8.81
ACA049,JUNTA DE DILATACION METALICA 1 X 3.00,51.84
ACA050,"MOLDURA EN U P/DECORACION 1/2"" X 2,44 MT",3.07
ACA051,"MOLDURA EN U P/DECORACION 1/2"" X 3,05 MT",3.55
ACA052,CINTA CARTON IMPORTADA 500'-152 M P/DRY ,8.81
ACA053,CINTA CARTON IMPORTADA 250' 126 M P/DRY ,7.69
ACA054,DURABOND 90 P/PARED-JUNTAS SACO 25 LBS,13.22
ACA055,MARCO DE ALUMINIO P/VENTANA,55.1
ACA056,MASTIQUE NACIONAL (PASTA PROFESIONAL) 5 ,66.69
ACA057,MASTIQUE IMPORTADO (PASTA PROFESIONAL) 5,83.74
ACA058,LAMINA FIBROCEMENTO DURAROCK 4' X 8' X 1,68.08
ACA059,LAMINA DE YESO SPLASH GRUESO 2'X4' 1.2MX,6.47
ACA060,LAMINA DE YESO SIN ACABADO 2' X 4' X 1/4,4.38
ACA061,"LAMINA DE YESO LISA 2' X 4' X 1/4"" PINTU",8.81
ACA062,LAMINA DE YESO TEXTURIZADO 2' X 4' X 1/4,10.79
ACA063,"LAMINA DE YESO TEXTURIZADO 2,4 X 1,2 M X",36.34
ACA064,LAMINA DE YESO VINYL CUADRITO 2' X 4' X ,9.89
ACA065,"LAMINA DE YESO FISURADO 2' X 4' 1/4""",4.38
ACA066,"LAMINA DE YESO VINYL 2' X 4' X 1/4"" (0.6",11.03
ACA067,LAMINA DE YESO SIN ACABADO 2' X 4' X 3/8,5.4
