Cod_MAT,Descripcion,Precio_MAT,Cod_Reemplazo,Precio_Reemplazo,Unidad
MAT0359,"ANILLO DE GOMA SELLOFLEX 1 1/2""",0.6333124021270616,PLOB64,8.81,pza
MAT0360,"ANILLO DE GOMA SELLOFLEX 2""",0.7109089262192205,PLOB60,11.02,pza
MAT0361,"ANILLO DE GOMA SELLOFLEX 6""",1.8022254225571785,PLOB63,30.85,pza
MAT0362,"ANILLO EMT D=1""",3.28,ELE028,3.28,pza
MAT0363,"ANILLO EMT D=1 1/2""",6.62,ELE393,6.62,pza
MAT0365,"ANILLO EMT D=2""",7.69,MT259,10.49,pza
MAT0365,"ANILLO EMT D=2""",7.69,ELE033,8.81,pza
MAT0366,"ANILLO EMT D=3/4""",1.34,ELE034,1.34,pza
MAT0403,ARENA AMARILLA,49.54,AGR034,49.54,m3
MAT0403,ARENA AMARILLA,49.54,AGR051,44.73,m3
MAT0418,ASFALTO SOLIDO CILINDRO DE 45 KG,63.93,ASF139,63.93,cil
MAT0933,COLORANTE ROJO,5.54,REC149,5.54,pqt
MAT2232,CONSTRUCCION DE MEDIA CAÑA,6.621994428432403,MT9041,1.18,m
MAT1168,"CURVA EMT D=1""",7.8,ELE206,7.8,pza
MAT1169,"CURVA EMT D=1 1/2""",14.31,ELE205,14.31,pza
MAT1171,"CURVA EMT D=2""",17.1,ELE209,17.1,pza
MAT1172,"CURVA EMT D=3""",54.24,ELE204,54.24,pza
MAT1173,"CURVA EMT D=3/4""",4.6,ELE211,4.6,pza
MAT1174,"CURVA EMT D=4""",79.34,ELE210,79.34,pza
MAT1246,"DISCO ABRASIVO PARA ESMERIL 7""",16.07,ACA075,16.07,pza
MAT1248,DISPENSADOR BASCULANTE DE JABON LIQUIDO,60.63,MT1264,60.63,pza
MAT1354,EXTENSION C/ENCHUFE P/CALENTADOR,12.13,MT1940,12.13,und
MAT1541,JABONERA METALICA P/ATORNILLAR,9.88,MT1309,9.88,pza
MAT1566,KEROSENE,3.87,COM028,3.87,lt
MAT1764,MANCHON RAPIDO DE UNION PEAD 125 MM,88.17,MT3495,88.17,pza
MAT2358,SOLVENTE UNIVERSAL,55.1,MZ0673,66.14,gln
MAT2358,SOLVENTE UNIVERSAL,55.1,MT79,55.1,gln
MAT3120,"VALVULA CHECK 2"" CON FILTRO (MARACA)",77.13,MT730,77.13,pza
MAT3122,"VALVULA CHECK 3"" CON FILTRO (MARACA)",319.57,MT1204,319.57,und
MAT3130,"VALVULA CHECK D=2 1/2""",165.32,PLO479,165.32,pza
MAT3175,VIDRIO PLANO BRONCE E= 5 MM,99.2,MT146,99.2,m2
MAT3176,VIDRIO PLANO BRONCE E= 6 MM,134.62,MT147,134.62,m2
MAT3177,VIDRIO PLANO E= 3 MM,67.31,MT142,67.31,m2
MAT3178,VIDRIO PLANO E= 4 MM,79.48,MT143,79.48,m2
MAT3179,VIDRIO PLANO E= 5 MM,101.38,MT144,101.38,m2
MAT3180,VIDRIO PLANO E= 6 MM,112.38,MT145,112.38,m2
