Metrica,Subcategoria,Cantidad
Total Partidas,General,12933
Estado Código,COVENIN Completo,4466
Estado Código,S/C o Incompleto,8467
Por Especialidad,Edificaciones,5972
Por Especialidad,Carreteras,1908
Por Especialidad,Vialidad,1201
Por Especialidad,Otra (B),947
Por Especialidad,Otra (L),900
Por Especialidad,Otra (T),531
Por Especialidad,Urbanismo,326
Por Especialidad,Otra (G),315
Por Especialidad,Instalaciones,290
Por Especialidad,Hidráulica,205
Por Especialidad,Otra (D),149
Por Especialidad,Otra (X),143
Por Especialidad,Otra (A),40
Por Especialidad,Otra (M),6
