Especialidad,Total Partidas,Codificadas COVENIN,Incompletas o S/C
E - EDIFICACIONES,6824,2523,4301
C. - CARRETERAS,2143,1198,945
U -  URBANISMO,520,494,26
I - CONSTRUCCIÓN DE EDIFICACIONES NUEVAS PARA ÁREAS DE CONSTRUCCIÓN MAYORES DE 10.000 m2,234,1,233
M - CONSTRUCCIÓN MENORES DE 1.000 m2,109,58,51
"P - REPARACIONES PARCIALES DE EDIFICACIONES EXISTENTES, QUE NO INCLUYEN REPARACIÓN DE LA ESTRUCTURA",142,60,82
"R - REPARACIONES GENERALES DE EDIFICACIONES EXISTENTES, INCLUYENDO REPARACIÓN DE LA ESTRUCTURA",380,172,208
B - PARTIDAS BANCARIAS,0,0,0
PE. - EDIFICACIONES,0,0,0
PT. - PARTIDAS PTTROLERAS E INSTALACIONES,0,0,0
H - HIDRÁULICA,259,177,82
OTRAS / SIN CLASIFICAR,2322,588,1734
TOTAL GLOBAL (BD),12933,5271,7662
