CodMat,Descri,CosMat
MAT0688,CAL EN PASTA 7.00 Kgf/saco,7.458461538461538
MAT0373,"ANILLO H.G. D=2""",32.28323076923077
MAT3075,"UNION PVC PRESION A/C ASTM D=1/2""",1.9470769230769231
MAT2161,"REJILLA CROMADA 2""",41.90276923076923
MAT0929,COLETO,20.96415384615385
MAT0123,ACACIAS,3.087076923076923
MAT2211,"REM-9014 I.E.TUB.HIER.GALV.S/ROSCA,EMT,EMBUTIDA. 1/2plg",23.256923076923076
MAT2220,REM-9023 CONSTRUCCION SANITARIO DE OFICINA,1071.702
MAT2212,"REM-9015 I.E. CAB/COBRE TRENZ.REVEST.TW, 12 AWG(2.32mm)",22.589076923076924
MAT2206,REM-9008 MONTAJE ESTRUC.METALICA ACERO C/CONEX.SOLDADAS,3.4766153846153847
MAT2210,REM-9013 SUM.TRANS.COLOC.VENT.BASC.PERF.HIERRO Y VIDRIO,1354.7136923076923
MAT2209,REM-9012 SUM.TRANS.COLOC.PUERTAS LAM.SENC.HIERRO T.BAT,943.702
MAT2208,"REM-9011 CONST.REVEST.PISOS C/MORTERO CEMENTO, A. LISO",46.63215384615385
MAT2205,REM-9007 SUM.FAB.LIMP.Y SIST.PROTEC.ESTR.SOL.ESPECIFIC.,27.53
MAT2204,"REM-9006 CONCRETO 200, A.CORRIENTE, CONST.BASES PAVIM.",675.0924615384615
MAT2235,"REM-9044 CONST.PARED.BLOQ.CONCR.A.CORRIENTE, e= 15 CMS.",83.20953846153846
MAT2207,"REM-9009 SUM.TRANS.COLOC.LAMINAS ACERO,ASFALTO,ALUMINIO",110.05999999999999
MAT2221,"REM-9024 CONST.REVES.EXT.PARED.C/MORTERO CAL, A.RUSTICO",52.032923076923076
MAT2222,"REM-9025 CIELO RASO FIBRA VIDRIO E=5/8"", JUNTA VISIBLE",159.96692307692308
MAT2223,REM-9026 CAUCHO INTER. PAREDES. INC.FONDO ANTIALCALINO,32.98676923076923
MAT2229,"REM-9035 CONST.PROV.CONV.OFIC.S/FRISO,S/CIELO RASO.INC.",1249.469846153846
MAT2230,"REM-9036 CONST.REV.INT.PARED.C/MORTERO CAL, A. LISO.",49.33461538461538
MAT2219,"REM-9022 SUM.TRANS.INST.CENT.PISO CIRC.ESTANDAR,BRONCE",108.39907692307692
MAT2214,"REM-9017 PTS.AGUA.RES.PVC,2plg,e=3.2mm AMB.INT.REC.SANI",52.06107692307692
MAT2213,"REM-9016 PTS.AGUA.CLARAS,ACER.GALV.ISO II,150psi,1/2plg",128.17123076923076
MAT1468,GRIFERIA P/DUCHA MANILLA CROSS FUNDICION PACIFICO,423.9987692307692
MAT2218,"REM-9021 SUM.TRANS.INST.W.C.ASIENTO,TANQ.BAJO,DES.PISO",2447.605076923077
MAT2225,"REM-9029 SUM.TRANS.INST.URINARIO,C/SIFON CROM.C/LLAVE",1337.032
MAT2224,"REM-9028 CONST.PROV.CONV.DEPOSITOS,INC.ACOMETIDA PROV.",1003.1010769230769
MAT2217,REM-9020 I.S.SUM.TRANS.INST.LAVAMANOS/COLGAR/UNA LLAVE,1225.292923076923
MAT2216,"REM-9019 TUB.VENT.P.V.C.LIVIANO,2"".EMBUT.INC.CONEXIONES",25.517846153846154
MAT2215,"REM-9018 PTS.AGUA.RES.PVC,4plg,e=3.2mm AMB.INT.REC.SANI",94.01153846153846
MAT1460,GRAPAS CALIBRE 5/8 x 16 SIN CABEZA (CAJA 25 Kgf),94.20092307692309
MAT0259,ALAMBRE DE PUAS GALV. CAL 14 L= 300 m,5.7676923076923075
MAT1737,MADERA CUARTON AURORA 5 X 10 cm,7016.67
MAT2063,"POSTE DE UÑAS METALICO PARA CERCAS h=2,10 m e= 1,5 mm",127.72261538461538
MAT2069,"POSTE METALICO PARA CERCAS D= 2"" h=2,20 m",242.9647692307692
MAT0546,"BRAZO ALUM. SENCILLO P/CERCA CICLON D= 2 1/4""",33.884307692307694
MAT1753,"MALLA GALVANIZADA CAL. 09-60-25 h=1,80 m ROLLO D/25 m",133.15615384615384
MAT1090,"CRUCETA (TE) P/FIJACION TUBO CERCA 2"" x 1.1/4"" +2 TORN.",75.94153846153846
MAT0263,ALAMBRE LISO GALVANIZADO CAL 18/ ROLLO DE 50 Kgf,105.01215384615385
MAT2203,"REM-9005 CONCRETO 150, A.CORRIENTE, BASES Y ESCALONES",950.9052307692307
MAT2919,"TUBO GALV.CALIEN. P/CERCA D=2"" L=6.60m e=1.10 mm",90.51630769230769
MAT2658,TRANSPORTE DE MATERIALES (10%),0.0015384615384615385
MAT1754,"MALLA GALVANIZADA CAL.10-60-25 h=1,80 m ROLLO DE 25 m",126.8929230769231
MAT1755,"MALLA GALVANIZADA CAL.11-60-25 h=1,80m ROLLO DE 25m",77.536
MAT2199,"REM-9001 CONCRETO 200, A.CORR., MACHONES, VIGAS CORONA",776.8798461538462
MAT0233,"AGUA-TARIFA INDUSTRIAL TIPO ""B""",0.046153846153846156
MAT0407,ARENA LIGADA-POLVILLO (INCLUYE CARGA Y LOGISTICA),176.09476923076923
MAT0494,BLOQUE PARED ENTERO NORMAL CONCRETO 15x20x40 cm.,3.4224615384615387
MAT2201,REM-9003 SUM.TRANS.PREP.COLOC.ACERO REFUE. CABILLA 3/8,29.516923076923074
MAT2200,"REM-9002 ENCOFRADO MADERA RECTO, A.CORRIENTE, MACHONES",146.76600000000002
MAT0726,CEMENTO PORTLAND GRIS TIPO III SACO = 42.5 Kg,26.290615384615386
MAT2202,REM-9004 SUM.TRANS.PREP.COLOC.ACERO REFUE. CABILLA 1/2,21.351692307692307
MAT0495,BLOQUE PARED ENTERO NORMAL CONCRETO 20x20x40 cm.,4.5440000000000005
MAT2946,"TUBO H.G. ISO D=3"" L= 6.40 m",130.5353846153846
MAT1882,PASADOR HORIZONTAL PORTON P/COLOCACION CANDADO H.G.,54.158307692307694
MAT0057,"ABRAZADERA (OMEGA) MOROCHA D=3"" GALV/ LIV / C.TORN.",9.492153846153846
MAT1883,PASADOR VERTICAL PORTON P/COLOCACION CANDADO H.G.,54.72123076923077
MAT1322,"ELECTRODO E-6013 1/8"" (3.32mm) LONG. 350 mm",75.14415384615384
MAT2032,"PLETINA NEGRA 3/4""x3/16"" L=1.8 m. P/CERCA CICL0N",17.80076923076923
MAT0476,"BISAGRA GALV. P/PORTON CERCA MALLA CICLON 1-1/2""",96.11646153846154
MAT2920,"TUBO GALV.CALIENTE D= 2"", L=6.60m (CERCAS) e=1.10 mm",89.06723076923076
MAT1168,"CURVA E.M.T. D=1""",25.869076923076925
MAT2757,"TUBERIA EMT D=1"" L= 3.00 m",19.573076923076922
MAT0362,"ANILLO E.M.T. D=1""",7.691846153846154
MAT0640,CABLE TW # 6 AWG/MCM (THHN 90° C 600 V),53.718923076923076
MAT0636,CABLE TW # 12 AWG/MCM (THHN 90° C 600 V),17.187846153846156
MAT0687,"CAJETIN RECTAN. 4x2"" HUECOS 1/2""o 3/4""",41.810769230769225
MAT0994,"CONECTOR E.M.T. D=1""",6.788461538461538
MAT0684,"CAJETIN CUADRADO DE 5""x5""(HUECO 1"")",40.178000000000004
MAT1688,"LLAVE DE COMPUERTA D=3/4""",171.19415384615385
MAT2487,"TEE H.G. D=3/4""",10.343076923076922
MAT2575,TEFLON (ROLLO 1/2 x 12 m),8.987230769230768
MAT2947,"TUBO H.G. ISO D=3/4"" L= 6.40 m",23.96153846153846
