CodMat,Descri,UniMat,CosMat
MAT0259,ALAMBRE DE PUAS GALV. CAL 14 L= 300 m,m,5.7676923076923075
MAT1684,"LLAVE DE COMPUERTA D=1/2""",pieza,122.09323076923077
MAT0314,"ANCLA DE EXPANSION DE 70""",pieza,54.744
MAT1277,"EDF-9024 CONST.REVES.EXT.PARED.C/MORTERO CAL, A.RUSTICO",m2,72.94984615384615
MAT1286,"EDF-9036 CONST.REV.INT.PARED.C/MORTERO CAL, A. LISO.",m2,63.52046153846154
MAT1285,"EDF-9035 CONST.PROV.CONV.OFIC.S/FRISO,S/CIELO RASO.INC.",m2,1384.959076923077
MAT1278,"EDF-9025 CIELO RASO FIBRA VIDRIO E=5/8"", JUNTA VISIBLE",m2,167.4576923076923
MAT1279,EDF-9026 CAUCHO INTER. PAREDES. INC.FONDO ANTIALCALINO,m2,34.30723076923076
MAT1267,"EDF-9014 I.E.TUB.HIER.GALV.S/ROSCA,EMT,EMBUTIDA. 1/2plg",m,24.975538461538463
MAT1291,"EDF-9044 CONST.PARED.BLOQ.CONCR.A.CORRIENTE, e= 15 CMS.",m2,100.35538461538462
MAT1268,"EDF-9015 I.E. CAB/COBRE TRENZ.REVEST.TW, 12 AWG(2.32mm)",m,23.58646153846154
MAT1263,"EDF-9009 SUM.TRANS.COLOC.LAMINAS ACERO,ASFALTO,ALUMINIO",m2,100.22676923076922
MAT1262,EDF-9008 MONTAJE ESTRUC.METALICA ACERO C/CONEX.SOLDADAS,kgf,5.988769230769231
MAT1266,EDF-9013 SUM.TRANS.COLOC.VENT.BASC.PERF.HIERRO Y VIDRIO,m2,1399.0312307692307
MAT1265,EDF-9012 SUM.TRANS.COLOC.PUERTAS LAM.SENC.HIERRO T.BAT,m2,985.8763076923077
MAT1264,"EDF-9011 CONST.REVEST.PISOS C/MORTERO CEMENTO, A. LISO",m2,56.995999999999995
MAT1260,"EDF-9006 CONCRETO 200, A.CORRIENTE, CONST.BASES PAVIM.",m3,975.4047692307691
MAT1276,EDF-9023 CONSTRUCCION SANITARIO DE OFICINA,m2,1129.8216923076923
MAT1261,EDF-9007 SUM.FAB.LIMP.Y SIST.PROTEC.ESTR.SOL.ESPECIFIC.,kgf,28.823076923076922
MAT1269,"EDF-9016 PTS.AGUA.CLARAS,HIER.GALV.ISO II,150psi,1/2plg",pto,128.7336923076923
MAT1468,GRIFERIA P/DUCHA MANILLA CROSS FUNDICION PACIFICO,grupo,423.9987692307692
MAT1275,"EDF-9022 SUM.TRANS.INST.CENT.PISO CIRC.ESTANDAR,BRONCE",pza,114.85907692307693
MAT1270,"EDF-9017 PTS.AGUA.RES.PVC,2plg,e=3.2mm AMB.INT.REC.SANI",pto,60.97246153846154
MAT1280,"EDF-9028 CONST.PROV.CONV.DEPOSITOS,INC.ACOMETIDA PROV.",m2,1125.1593846153846
MAT1274,"EDF-9021 SUM.TRANS.INST.W.C.ASIENTO,TANQ.BAJO,DES.PISO",pza,2600.993692307692
MAT1273,EDF-9020 I.S.SUM.TRANS.INST.LAVAMANOS/COLGAR/UNA LLAVE,pza,1277.1483076923078
MAT1272,"EDF-9019 TUB.VENT.P.V.C.LIVIANO,2"".EMBUT.INC.CONEXIONES",m,20.313846153846157
MAT1271,"EDF-9018 PTS.AGUA.RES.PVC,4plg,e=3.2mm AMB.INT.REC.SANI",pto,106.24476923076922
MAT1281,"EDF-9029 SUM.TRANS.INST.URINARIO,C/SIFON CROM.C/LLAVE",pza,1427.161076923077
MAT1460,GRAPAS CALIBRE 5/8 x 16 SIN CABEZA (CAJA 25 Kgf),caja,94.20092307692309
MAT1737,MADERA CUARTON AURORA 5 X 10 cm,m3,7016.67
MAT2063,"POSTE DE UÃƒâ€˜AS METALICO PARA CERCAS h=2,10 m e= 1,5 mm",pieza,127.72261538461538
MAT2069,"POSTE METALICO PARA CERCAS D= 2"" h=2,20 m",pieza,242.9647692307692
MAT2919,"TUBO GALV.CALIEN. P/CERCA D=2"" L=6.60m e=1.10 mm",m,90.51630769230769
MAT1259,"EDF-9005 CONCRETO 150, A.CORRIENTE, BASES Y ESCALONES",m3,935.7696923076923
MAT1753,"MALLA GALVANIZADA CAL. 09-60-25 h=1,80 m ROLLO D/25 m",m,133.15615384615384
MAT0546,"BRAZO ALUM. SENCILLO P/CERCA CICLON D= 2 1/4""",pieza,33.884307692307694
MAT0263,ALAMBRE LISO GALVANIZADO CAL 18/ ROLLO DE 50 Kgf,Kgf,105.01215384615385
MAT1090,"CRUCETA (TE) P/FIJACION TUBO CERCA 2"" x 1.1/4"" +2 TORN.",pieza,75.94153846153846
MAT2658,TRANSPORTE DE MATERIALES (10%),%,0.0015384615384615385
MAT1754,"MALLA GALVANIZADA CAL.10-60-25 h=1,80 m ROLLO DE 25 m",m,126.8929230769231
MAT1755,"MALLA GALVANIZADA CAL.11-60-25 h=1,80m ROLLO DE 25m",m,77.536
MAT1255,"EDF-9001 CONCRETO 200, A.CORR., MACHONES, VIGAS CORONA",m3,1297.398153846154
MAT0688,CAL EN PASTA 7.00 Kgf/saco,saco,7.458461538461538
MAT0407,ARENA LIGADA-POLVILLO (INCLUYE CARGA Y LOGISTICA),m3,176.09476923076923
MAT0233,"AGUA-TARIFA INDUSTRIAL TIPO ""B""",m3,0.046153846153846156
MAT0494,BLOQUE PARED ENTERO NORMAL CONCRETO 15x20x40 cm.,pieza,3.4224615384615387
MAT1257,EDF-9003 SUM.TRANS.PREP.COLOC.ACERO REFUE. CABILLA 3/8,kg,31.484461538461538
